Circuito,FP1,FP2,FP3,Qualifiche,SprintRace,Gara
Australia - Melbourne,2023-03-31 03:30,2023-03-31 07:00,2023-04-01 03:30,2023-04-01 07:00,X,2023-04-02 07:00
Azerbaijan - Baku City,2023-04-28 11:30,2023-04-29 11:30,X,2023-04-28 15:00,2023-04-29 15:30,2023-04-30 13:00
USA - Miami,2023-05-05 20:30,2023-05-06 00:00,2023-05-06 18:30,2023-05-06 22:00,X,2023-05-07 21:30
Italia - Imola,2023-05-19 13:30,2023-05-19 17:00,2023-05-20 12:30,2023-05-20 16:00,X,2023-05-21 15:00
Monaco - Monte Carlo,2023-05-26 13:30,2023-05-26 17:00,2023-05-27 12:30,2023-05-27 16:00,X,2023-05-28 15:00
Spagna - Barcellona,2023-06-02 13:30,2023-06-02 17:00,2023-06-03 12:30,2023-06-03 16:00,X,2023-06-04 15:00
Canada - Montreal,2023-06-16 19:30,2023-06-16 23:00,2023-06-17 18:30,2023-06-17 22:00,X,2023-06-18 20:00
Austria - Spielberg,2023-06-30 13:30,2023-07-01 12:30,X,2023-06-30 17:00,2023-07-01 16:30,2023-07-02 15:00
Gran Bretagna - Silverstone,2023-07-07 13:30,2023-07-07 17:00,2023-07-08 12:30,2023-07-08 16:00,X,2023-07-09 16:00
Ungheria - Budapest,2023-07-21 13:30,2023-07-21 17:00,2023-07-22 12:30,2023-07-22 16:00,X,2023-07-23 15:00
Belgio - Spa-Francorchamps,2023-07-28 13:30,2023-07-29 12:30,X,2023-07-28 17:00,2023-07-29 16:30,2023-07-30 15:00
Olanda - Zandvoort,2023-08-25 12:30,2023-08-25 16:00,2023-08-26 11:30,2023-08-06 15:00,X,2023-08-27 15:00
Italia - Monza,2023-09-01 13:30,2023-09-01 17:00,2023-09-02 12:30,2023-09-02 16:00,X,2023-09-03 15:00
Singapore - Marina Bay,2023-09-15 11:30,2023-09-15 15:00,2023-09-16 11:30,2023-09-16 15:00,X,2023-09-17 14:00
Giappone - Suzuka,2023-09-22 04:30,2023-09-22 08:00,2023-09-23 04:30,2023-09-23 08:00,X,2023-09-24 07:00
Qatar - Losail,2023-10-06 15:30,2023-10-07 15:30,X,2023-10-06 19:00,2023-10-07 19:30,2023-10-08 19:00
USA - Austin,2023-10-20 19:30,2023-10-21 20:00,X,2023-10-20 23:00,2023-10-22 00:00,2023-10-22 21:00
Messico - Città del Messico,2023-10-27 20:30,2023-10-28 00:00,2023-10-28 19:30,2023-10-28 23:00,X,2023-10-29 21:00
Brasile - San Paolo,2023-11-03 15:30,2023-11-04 15:30,X,2023-11-03 19:00,2023-11-04 19:30,2023-11-05 18:00
USA - Las Vegas,2023-11-17 05:30,2023-11-17 09:00,2023-11-18 05:30,2023-11-18 09:00,X,2023-11-19 07:00
Abu Dhabi - Yas Marina,2023-11-24 10:30,2023-11-24 14:00,2023-11-25 11:30,2023-11-25 15:00,X,2023-11-26 14:00
